"song","artist","duration_ms","explicit","year","popularity","danceability","genre"
"P.I.M.P.","50 Cent",249480,"True",2003,76,0.712,"hip hop; pop"
"Superstar","Jamelia",215480,"False",2003,69,0.801,"pop"
"Faint","Linkin Park",162600,"False",2003,72,0.554,"rock; metal"
"X Gon' Give It To Ya","DMX",217586,"True",2007,70,0.761,"hip hop; pop"
"Bring Me To Life","Evanescence",235893,"False",2003,79,0.331,"metal"
"Hole In The Head","Sugababes",218173,"False",2003,57,0.785,"pop; R&B"
"Rise & Fall (feat. Sting)","Craig David",287226,"False",2002,59,0.405,"hip hop; pop; R&B"
"I Hate Everything About You","Three Days Grace",231480,"False",2003,72,0.498,"rock; metal"
"Get Low","Lil Jon & The East Side Boyz",324600,"False",2002,47,0.78,"hip hop; pop"
"Bump; Bump; Bump (feat. P. Diddy)","B2K",282773,"False",2003,62,0.835,"hip hop; pop; R&B"
